1,0
9,18
10,13
11,4
13,14
14,4
18,13
22,18
23,13
24,14
27,3
36,2
37,14
38,4
40,6
41,8
42,13
45,19
46,12
47,12
48,6
49,7
50,2
53,2
56,0
58,1
59,9
64,0
65,17
66,17
68,19
71,2
74,1
75,15
80,0
81,12
82,10
83,2
85,11
86,2
87,2
89,2
93,3
96,5
98,14
100,6
105,6
108,2
109,12
110,13
111,0
113,13
123,0
124,6
125,5
126,8
127,13
128,18
130,0
134,19
135,5
136,12
138,14
139,2
140,8
142,17
143,2
144,7
145,0
146,13
147,18
151,16
152,2
153,5
157,18
160,1
162,18
163,2
164,1
165,2
166,2
167,3
168,18
169,17
183,17
185,19
186,0
187,3
191,13
194,13
196,10
198,6
199,18
201,17
202,14
203,12
210,3
211,12
212,8
213,6
214,13
220,6
225,12
232,7
233,9
236,7
237,12
242,7
246,12
247,19
248,12
249,7
256,12
259,7
260,6
271,6
272,19
273,7
279,6
281,12
284,12
290,15
293,0
299,4
302,12
304,13
314,6
315,0
317,6
322,12
323,6
330,6
331,19
334,0
338,12
342,7
343,18
345,12
349,12
352,7
353,7
354,7
356,0
361,18
362,13
366,5
369,19
371,13
372,13
376,18
377,12
378,10
379,12
381,13
387,5
388,3
389,0
390,0
393,13
399,4
401,13
402,15
404,2
405,18
406,18
407,18
408,18
409,0
410,16
416,6
420,3
422,1
423,2
424,13
435,13
436,13
438,10
439,10
441,18
442,13
447,0
449,3
456,17
461,2
464,2
466,17
467,18
470,2
474,12
478,12
480,18
483,17
484,14
489,7
490,3
494,3
496,13
497,13
498,12
502,7
504,7
505,18
506,2
508,2
509,2
512,2
513,2
514,2
517,2
518,12
521,2
524,6
525,12
528,17
529,2
530,1
531,2
532,19
533,17
534,16
535,17
536,2
538,16
539,16
541,4
543,13
545,19
546,2
547,13
548,2
550,18
551,19
552,0
553,18
554,11
555,13
557,3
558,18
559,5
560,17
562,13
677,12
679,19
680,14
682,13
684,7
686,17
687,18
690,2
691,2
692,2
693,2
695,2
696,12
697,12
698,17
699,14
700,2
701,2
702,2
703,19
704,12
706,13
707,2
712,18
714,13
715,3
718,12
722,11
724,19
725,19
728,17
731,14
732,18
733,13
734,14
735,18
736,13
739,16
741,18
743,13
745,18
748,13
754,7
756,17
757,12
758,14
762,19
764,19
767,18
768,13
773,17
774,4
776,2
778,17
780,16
781,14
783,17
787,19
791,7
793,6
797,19
800,6
811,18
816,6
817,13
818,4
820,19
828,11
835,12
836,5
837,3
839,6
840,18
842,7
844,5
846,17
848,14
849,13
850,13
851,5
852,0
853,12
857,19
859,3
861,4
865,13
866,2
867,6
868,0
873,7
875,7
882,18
883,4
887,4
889,12
894,7
895,6
896,6
899,4
903,12
904,13
918,12
920,4
922,0
924,6
925,7
929,6
930,19
932,19
937,0
939,19
940,6
941,13
945,19
952,7
955,12
960,13
963,0
968,4
969,12
971,12
976,4
977,7
978,18
982,12
983,0
984,18
986,4
991,7
995,13
998,3
